,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",Not-For-Profit:_2014,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndPremiumMinusCostsPMM_2014,IndPremiumPlusTransferMinusCostsPMM_2014,TotalLossPMM,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",Not-For-Profit:_2015,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015,IndPremiumPlusTransferMinusCostsPMM_2015
368,97596,Humana Insurance Company,OH,1360718.31,976968.6,No,-210554.64,45174,6861,11312075.87,10653083.42,250.4112071,235.8233369,21.62678975,14.58787024,36.21465998,66.33637402,Humana Insurance Company,OH,2367594.63,1602746.25,No,-114966.92,50883,6566,15292961.66,20542930.91,300.5514938,403.7287682,31.49865869,-103.1772743,-71.67861565
369,10940,"Health Net Health Plan of Oregon, Inc.",OR,3230190.41,2794804.37,No,-2324193.93,38452,294506,11359633,19496468,295.4237231,507.0339124,72.68293899,-211.6101893,-138.9272503,-54.92146624,"Health Net Health Plan of Oregon, Inc.",OR,1855731.14,3408186.75,No,45710.69,19103,257570,8270658,14324515,432.9507407,749.8568288,178.4110742,-316.906088,-138.4950139
370,61644,Aetna Life Insurance Company,NC,215718.92,-240838.67,No,205830.47,62142,11297,11364162.23,9280166.74,182.8740985,149.3380763,-3.875618261,33.53602218,29.66040391,33.13179074,Aetna Life Insurance Company,NC,651988.51,-715751.32,No,-157069.07,16986,11487,4390892.19,4106034.29,258.5006588,241.730501,-42.13772048,16.77015778,-25.3675627
371,91069,"HealthyCT, Inc. **",CT,1944236.31,-569431.67,Yes,-532743.6,23491,3296,11974980,12903482.29,509.7688476,549.294721,-24.24041846,-39.52587331,-63.76629177,18.99886552,"HealthyCT, Inc.",CT,11450211.51,-6912671.83,Yes,-6459820.49,204238,70909,95596346.48,94063469.84,468.0634675,460.5581226,-33.84615904,7.505344941,-26.3408141
373,15438,Coventry Health Care of Nebraska Inc.,NE,2189015.61,1102852.31,No,-43854.16,45293,127745,12389748.67,13137899.13,273.5466556,290.0646707,24.34928819,-16.51801515,7.831273044,56.16138167,Coventry Health Care of Nebraska Inc.,NE,19997409.37,-13630630.99,No,-516160.25,547175,131042,172505065,190002625.7,315.2648878,347.2428852,-24.91091696,-31.97799735,-56.88891431
374,34102,"Group Health Plan, Inc.",MN,2695282.74,-2650.5,Yes,,51252,,12629000,15951000,246.4098962,311.226879,-0.051715055,-64.81698275,-64.86869781,-12.27986732,"Group Health Plan, Inc.",MN,4673126.71,-4257609.45,Yes,,145243,,34215000,40862000,235.5707332,281.3354172,-29.31369808,-45.76468401,-75.07838209
375,53732,BridgeSpan Health Company,WA,3714808.43,6256017.45,No,,30344,,12723891,17699706,419.3214804,583.3016741,206.1698342,-163.9801938,42.18964046,164.6128025,Bridge Span Health Company,WA,5157667.99,3046204.15,No,,122870,,43512275,49813908,354.1326198,405.4196142,24.79209042,-51.28699438,-26.49490396
376,68184,Time Insurance Company,IA,1242068.11,-338678.1,No,-13859.22,47208,569,13237477,13766098,280.4074945,291.605194,-7.174167514,-11.19769954,-18.37186706,7.93867586,Time Insurance Company,IA,790452.44,-244924.54,No,-47915.07,36399,331,12243011,9924785,336.3556966,272.6664194,-6.728881013,63.68927718,56.96039616
377,67879,UnitedHealthcare Insurance Company,CO,,,No,3694826.77,27168,648310,13529598.43,14539004.6,497.9975865,535.1518183,,-37.15423182,,0,United Healthcare Insurance Company,CO,,,No,979323.74,19084,553156,9615388.77,8685449.61,503.8455654,455.1168314,,48.72873402,
378,18581,Community Health Plan of Washington,WA,9099895.43,11449602.2,No,,30774,,13542943,30333327,440.0774355,985.680347,372.0544031,-545.6029115,-173.5485085,122.1522594,Community Health Plan of Washington,WA,3148779.12,6748059.74,No,,15402,,7049384.53,17799756.45,457.6928016,1155.678253,438.1287976,-697.9854512,-259.8566537
380,27990,Aetna Life Insurance Company,NV,626982.29,-401883.36,No,-1140094.88,54879,154116,13597160.88,10124188.23,247.7661925,184.4820101,-7.32308096,63.28418247,55.96110151,67.3859141,Aetna Life Insurance Company,NV,1532987.48,-7118682.16,No,672487.49,69307,110659,21101584.96,14683496.19,304.4654214,211.8616617,-102.7123113,92.60375965,-10.10855166
381,91303,"HealthAmerica Pennsylvania, Inc.",PA,2150140.52,-1253464.22,No,,50625,11798,13714710.99,12172534.64,270.9078714,240.4451287,-24.75978706,30.46274272,5.702955654,48.17486716,"Health America Pennsylvania, Inc.",PA,2391915.15,-2527671.54,No,,76021,3878,21208977.19,19608073.02,278.9884004,257.9296907,-33.24964865,21.0587097,-12.19093895
382,71122,Time Insurance Company,KS,2664586.18,174538.76,No,-9478.41,52020,6526,13997862,17997167,269.0861592,345.9663014,3.355224145,-76.88014225,-73.52491811,-22.30257709,Time Insurance Company,KS,1368746.67,838285.82,No,-22779.35,29203,655,10792425,11634598,369.5656268,398.404205,28.7054693,-28.83857823,-0.133108927
383,25896,Wellmark Health Plan of Iowa,IA,782563.16,-2547979.51,No,501033.39,81794,227104,14314445,11937232,175.0060518,145.9426364,-31.15117869,29.06341541,-2.087763283,7.479725285,Wellmark Health Plan of Iowa,IA,1964191.81,-4391485.66,No,-1170299.82,121898,253629,25305558,32017398,207.5961706,262.6572872,-36.02590412,-55.06111667,-91.08702079
384,98809,UnitedHealthcare Insurance Company,TX,,,No,-3289829.48,25481,2647537,14554421.32,12367212.22,571.1872109,485.3503481,,85.83686276,,0,United Healthcare Insurance Company,TX,,,No,896126.05,20042,2517196,11455459.35,10559244.15,571.5726649,526.8558103,,44.71685461,
385,45495,Peach State Health Plan,GA,752278.28,-3689629.38,No,,45349,,14938432.09,9247521.498,329.4103969,203.9189728,-81.36076606,125.4914241,44.13065805,60.71929904,Peach State Health Plan,GA,2158724.63,-13768906.67,No,,223797,,67911724.16,43566063.28,303.4523437,194.6677716,-61.52408955,108.7845721,47.26048254
386,52697,"Molina Healthcare of Wisconsin, Inc.",WI,3441997.05,4461487.73,No,,33299,,15462249,20675214,464.3457461,620.8959428,133.982634,-156.5501967,-22.56756269,80.79881618,"Molina Healthcare of Wisconsin, Inc.",WI,13401718.71,-4595003.52,No,,281235,,110447203,132747617,392.7221114,472.0167013,-16.33866169,-79.29458993,-95.63325162
387,62210,"South Dakota State Medical Holding Company, Inc.",SD,251215.94,112428.12,No,-2099623.45,56085,142243,15590124,12717543,277.9731479,226.7548007,2.0046023,51.21834715,53.22294945,57.70214959,DAKOTACARE,SD,9167019.56,-2809177.34,No,-1242844.35,154506,141466,45750926,72189787,296.1109989,467.2296675,-18.18167152,-171.1186685,-189.3003401
388,69364,Asuris Northwest Health,WA,4356897.34,1425226.46,Yes,2090209.09,46293,112860,15696661,16360933,339.0720195,353.4213164,30.78708358,-14.34929687,16.43778671,110.5534703,Asuris Northwest Health,WA,2095416.08,1091276.01,Yes,4486607.33,35287,55190,12501291,13278499,354.2746904,376.3000255,30.92572364,-22.02533511,8.900388528
389,10191,"Freelancers CO-OP of New Jersey, Inc.",NJ,5827111.77,9029800.73,No,-615255.45,32684,3224,16019597,25023388,490.1357545,765.6158365,276.275876,-275.480082,0.795793966,179.0821656,"Freelancers CO-OP of New Jersey, Inc.",NJ,25518743.04,-38582686.31,No,-7735504.78,563748,55523,216153196,210816361,383.4216636,373.9549604,-68.43959767,9.466703208,-58.97289447
390,77150,"Health First Insurance, Inc.",FL,1475534.84,-723613.84,No,-391901.29,44014,8198,16295450.67,16609133.14,370.2333501,377.3602295,-16.44053801,-7.126879402,-23.56741741,9.956798519,"Health First Insurance, Inc.",FL,649761.09,700760.1,No,-210737.71,18268,6960,7453747,7254775.728,408.0220604,397.1302676,38.3599792,10.89179286,49.25177206
391,35670,Coventry Health & Life Co.,IL,2168704.98,-2604833.08,No,-400513.48,64001,98945,16645122,13080518.26,260.0759676,204.3799044,-40.69988094,55.69606319,14.99618225,48.8816681,Coventry Health & Life Co.,IL,1886166.5,-644379.33,No,458501.8,80734,83079,21936657.94,17308858.94,271.715237,214.3936748,-7.981511259,57.32156217,49.34005091
392,18029,Independent Health Benefits Corporation,NY,2847602.18,6203465.48,Yes,4211250.12,37626,482984,16703292,18421973,443.9295168,489.607532,164.871777,-45.6780152,119.1937618,194.8755292,Independent Health Benefits Corporation,NY,2216885.52,7655906.8,Yes,7032740.32,45191,414772,19640713,23502144,434.6155872,520.0624903,169.4122015,-85.44690314,83.9652984
393,39996,Time Insurance Company,SC,3954338.85,2251531.6,No,-68214.4,60944,5022,16908068,21420145,277.4361381,351.4725814,36.94427015,-74.03644329,-37.09217314,27.79262027,Time Insurance Company,SC,4797608.36,5534568.01,No,283969.26,50993,2486,17767630,32877829,348.4327261,644.7518091,108.5358384,-296.319083,-187.7832446
395,47342,Health Tradition Health Plan,WI,4487321.8,-626288.42,No,-69764.62,37196,26371,17100722,20523312,459.746263,551.7612647,-16.8375207,-92.01500161,-108.8525223,11.78737983,Health Tradition Health Plan,WI,5973322.11,-4413566.24,No,-781266.69,69211,44324,33123546,29973645.85,478.5878834,433.0763296,-63.76972215,45.5115538,-18.25816835
396,81068,Aetna Life Insurance Company,MI,379492.96,-299479.55,No,,72567,4575,17555621.12,13181088.99,241.9229281,181.6402633,-4.126938553,60.28266471,56.15572616,61.38527898,Aetna Life Insurance Company,MI,613608.61,-1395523.24,No,,29548,5359,9219535.85,7865754.38,312.0189471,266.2025985,-47.22902531,45.81634865,-1.412676662
397,42260,Time Insurance Company,NH,6063182.46,5242904.85,No,,45329,,17603025,24069996,388.3391427,531.0065521,115.6633689,-142.6674094,-27.00404046,106.7554173,Time Insurance Company,NH,4992365.74,6151610.42,No,,25390,,14018171,25648645,552.1138637,1010.186885,242.2847743,-458.0730209,-215.7882466
398,93689,Western Health Advantage,CA,5847162.74,2576272.04,Yes,884571.67,40958,344213,17648512.71,23285629.43,430.892932,568.5245722,62.90033791,-137.6316402,-74.73130231,68.02866497,Western Health Advantage,CA,6089256.83,-1713529.97,Yes,3553914.02,82544,352835,36465371.67,35046006.27,441.768895,424.5736367,-20.75898878,17.19525829,-3.563730495
399,50102,Time Insurance Company,VA,4854252.39,3281469.92,No,186843.57,72327,2600,17863786,23497534,246.9864089,324.8791461,45.36991608,-77.89273715,-32.52282108,34.59253543,Time Insurance Company,VA,4361533.95,4298069.65,No,143381.55,54075,454,21007566,27921423,388.4894313,516.3462413,79.48348867,-127.85681,-48.37332131
400,29941,Time Insurance Company,WY,5301137.18,36704.98,No,594176.69,58833,34096,18222132,23249945,309.7263781,395.1854401,0.623884215,-85.45906209,-84.83517788,5.269647307,Time Insurance Company,WY,1888415.67,1254913.51,No,646260.58,24048,28773,11843016,12790612,492.4740519,531.8784098,52.18369553,-39.40435795,12.77933757
401,56503,"Florida Health Care Plan, Inc.",FL,3957217.77,4718787.44,No,-69476.1,43790,63494,18256065.08,22655624.43,416.9003215,517.3698203,107.7594757,-100.4694987,7.289976935,97.65804659,"Florida Health Care Plan, Inc.",FL,2186051.19,2314125.36,No,528571.04,37045,59053,18538858.37,20950336.53,500.4415811,565.5374957,62.46795411,-65.0959147,-2.627960588
402,74571,Time Insurance Company,OR,2747472.78,855887.67,No,,71109,,18256208,20481654,256.7355468,288.0318103,12.03627769,-31.29626348,-19.2599858,19.37749722,Time Insurance Company,OR,2406023.93,2081868.31,No,,47345,,14552037,20087300,307.3616433,424.2750026,43.97229507,-116.9133594,-72.94106432
403,42277,Time Insurance Company,WA,4376501.63,789160.16,No,,77117,,18539402,22075328,240.4061621,286.2576086,10.23328397,-45.8514465,-35.61816253,21.13328825,Time Insurance Company,WA,2762865.63,1137459.68,No,,33244,,12030222,16359630,361.876489,492.1077488,34.21548791,-130.2312598,-96.01577187
404,62294,Humana Insurance Company,MI,698246.11,884115.01,No,-107913.09,101756,81670,18662585.78,14364555.98,183.4052614,141.166673,8.688578659,42.23858839,50.92716705,57.78913204,Humana Insurance Company,MI,1227648.12,-356523.02,No,-541342.84,33385,62952,10083892.39,6049813.101,302.0485964,181.2135121,-10.67913794,120.8350843,110.1559464
405,60597,PacificSource Health Plans,ID,2266284.66,663249.2,Yes,-228325.54,92174,72031,18851283,19724797.9,204.5184434,213.995247,7.195621325,-9.476803654,-2.281182329,22.30584503,Pacific Source Health Plans,ID,807479.44,600458.28,Yes,-80877.14,34541,21577,7143434,8342078.867,206.8102834,241.5123727,17.38392866,-34.70208931,-17.31816065
406,44580,Humana Insurance Company,AL,3343273.21,-983926.61,No,,71319,21,18905173.34,20499199.8,265.079058,287.4297144,-13.79613581,-22.35065635,-36.14679216,10.73094323,Humana Insurance Company,AL,4108536.1,-3473430.83,No,,80011,,26352276.29,29268855.53,329.3581669,365.8103952,-43.41191624,-36.45222832,-79.86414456
407,92036,HealthSpan,OH,2399677.86,-4194646.37,No,-11076.66,47842,499,19096941,18659412,399.1668618,390.021571,-87.67706973,9.145290749,-78.53177898,-28.37338552,Health Span,OH,4160340.95,-6743522.63,No,-471429.58,107468,14217,37917125.09,39362987.49,352.8224689,366.2763566,-62.74912188,-13.45388767,-76.20300955
408,20393,McLaren Health Plan,MI,1865110.37,-275686.71,Yes,480378.3,80642,123749,19128950,19770500.93,237.2082786,245.163822,-3.418649215,-7.955543389,-11.3741926,11.75408261,McLaren Health Plan,MI,1279803.45,3123625.29,Yes,-1125261.52,36196,44208,17867425,17796813.96,493.629821,491.6790242,86.29752707,1.950796773,88.24832385
409,96384,Cox Health Systems Insurance Company,MO,1265068.01,-173675.23,No,-164283.18,101891,22942,19336149,18647400,189.7728847,183.01322,-1.70451983,6.75966474,5.05514491,17.47104043,Cox Health Systems Insurance Company,MO,1954932.69,-1884389.93,Yes,-1229766.58,120726,31560,26708066,24317228.3,221.2287825,201.4249482,-15.60881608,19.8038343,4.195018223
410,31195,Sanford Health Plan,SD,2844814.58,-802074.46,Yes,26954.59,62624,24326,19477603,21757491.62,311.0245752,347.4305637,-12.80778072,-36.40598844,-49.21376916,-3.786862864,Sanford Health Plan,SD,1912816.62,201919.38,Yes,225580.45,53788,30143,13453355,22994377,250.118149,427.5001301,3.753985647,-177.3819811,-173.6279955
411,29176,Time Insurance Company,OK,3742479.01,847618.04,No,29114.13,80503,5516,19947901,20888391,247.790778,259.4734482,10.52902426,-11.68267021,-1.153645951,45.33504404,Time Insurance Company,OK,2438106.47,2221935.85,No,-149749.38,55501,2262,15835716,19997887,285.3230753,360.3157961,40.03415884,-74.99272085,-34.95856201
412,19524,Time Insurance Company,NE,2775559.37,654497.47,No,128514.67,80452,33556,20516492,20058502,255.0153135,249.3226023,8.135254189,5.692711182,13.82796537,48.32753493,Time Insurance Company,NE,4734632.44,6667658.89,No,883774.73,80376,23547,29893734,40852504,371.9236339,508.267443,82.95584366,-136.3438091,-53.38796544
413,40064,HealthNow New York,NY,0,-9077.56,Yes,-54673.38,48638,588220,20517394.2,22887793,421.8387722,470.574304,-0.186635141,-48.73553189,-48.92216703,-48.92216703,HealthNow New York,NY,0,3626.81,Yes,-68200.88,85075,609043,32826816.86,41373492.31,385.857383,486.3178644,0.042630738,-100.4604813,-100.4178506
414,29211,Time Insurance Company,NV,10011393.67,3410103.71,No,-633561,66012,7962,20755690,38993094,314.4229837,590.6970551,51.65884551,-276.2740714,-224.6152259,-72.95501757,Time Insurance Company,NV,13121851.53,9178690.86,No,-712661.85,122900,10179,49128591,81262351,399.7444345,661.2070871,74.68422181,-261.4626526,-186.7784308
415,87696,Time Insurance Company,NC,2823899.85,12959.79,No,-109748.65,93145,2287,20763791,21448918,222.919008,230.2744968,0.139135649,-7.355488754,-7.216353105,23.10089259,Time Insurance Company,NC,2414167.19,-2641746.14,No,-271229.67,82276,2702,22802565,24135384,277.147224,293.3465895,-32.10834435,-16.19936555,-48.3077099
416,40733,Aetna Life Insurance Company,CA,,,No,-1519853.96,63292,796551,20902313.32,13984397.1,330.252059,220.9504693,,109.3015898,,0,Aetna Life Insurance Company,CA,,,No,26507101.9,15408,633699,7411703.35,5604240.79,481.0295528,363.7227927,,117.3067601,
417,16698,Prominence HealthFirst,NV,3231609.73,542628,No,-844787.93,41120,83744,20905855,20058272,508.4108706,487.7984436,13.19620623,20.61242704,33.80863327,112.3983641,Prominence Health First,NV,2492308.28,3206374.59,No,-1767200.16,40064,68033,17990277,20894048.56,449.0384635,521.5167871,80.03131465,-72.47832368,7.552990964
418,18126,MOLINA HEALTHCARE OF CALIFORNIA,CA,950343.48,-9072047.23,No,,71865,,20990525,8163374,292.0827246,113.5931817,-126.237351,178.4895429,52.25219189,65.47620191,Molina Healthcare of California,CA,1230390.91,-25983024.62,No,,199582,,60304876,28198872,302.1558858,141.2896554,-130.1872144,160.8662304,30.67901604
419,57845,Medica Health Plans of Wisconsin,WI,2862374.5,-2323453.55,Yes,,33965,,21219228.85,14752671.73,624.7380789,434.3492339,-68.40728839,190.388845,121.9815566,206.2557948,Medica Health Plans of Wisconsin,WI,5114750.87,-2183267.46,Yes,,76759,,38717010.52,35813462.65,504.3970156,466.5702087,-28.44314621,37.82680689,9.383660678
420,37651,Health Alliance Plan (HAP),MI,5921541.69,5267035.16,Yes,-59049.89,50283,193568,21341078,26220361,424.4193465,521.4557803,104.7478305,-97.03643378,7.711396695,125.4756846,Health Alliance Plan (HAP),MI,3485778.72,3869249.1,Yes,-1604360.74,94081,202285,35127892,33194265,373.379237,352.8264474,41.12678543,20.55278962,61.67957505
421,94788,CDPHP,NY,5393821.37,8365330.23,Yes,5699384.43,45111,125199,21946640,28267684,486.5030702,626.6250804,185.4388116,-140.1220102,45.31680145,164.8845647,CDPHP,NY,3850329.69,8189242.42,Yes,3397548.58,53205,83602,26813056,33639246,503.9574476,632.2572315,153.9186622,-128.2997839,25.6188783
422,67129,Aetna Life Insurance Company,OH,753385.3,-225186.77,No,-593316.79,76066,45162,21993243.17,18301411.54,289.1336888,240.5991053,-2.960412931,48.53458352,45.57417059,55.4785339,Aetna Life Insurance Company,OH,6603468.9,-16376734.46,No,-481369.85,260828,68312,93890790.37,70425596.8,359.972052,270.007809,-62.78748624,89.96424299,27.17675675
423,90028,BCBS of Wisconsin(Anthem BCBS),WI,,,No,-33656.01,57887,24396,22134036,20067780.16,382.3662653,346.6716216,,35.6946437,,0,BCBS of Wisconsin(Anthem BCBS),WI,,,No,-163325.2,34379,33265,15798432,9261911.26,459.5372757,269.4060694,,190.1312063,
425,91058,"Gundersen Health Plan, Inc.",WI,5727641.4,417451.12,Yes,-2319871.19,43139,81062,22631274.92,26227200.12,524.6128774,607.9695895,9.67688449,-83.35671202,-73.67982753,59.09194279,"Gundersen Health Plan, Inc.",WI,5246929.26,-855334.89,Yes,-6517699.11,55370,62022,29584232.87,34509322.89,534.3007562,623.2494652,-15.44762308,-88.94870905,-104.3963321
426,86052,"CareFirst BlueChoice, Inc.",DC,1900356.26,-1007058.65,No,-6732251.48,85443,411734,22644314.97,22846546.22,265.0224708,267.3893265,-11.78632129,-2.366855682,-14.15317697,8.088039512,"CareFirst Blue Choice, Inc.",DC,3021555.65,-1630614.05,No,-10757047.29,110036,440289,33188114.25,30505235.97,301.6114204,277.2295973,-14.81891426,24.38182304,9.562908775
427,60299,Time Insurance Company,TN,3193778.58,191793.01,No,,87553,,22731865,24601539,259.6354779,280.9902459,2.190593241,-21.35476797,-19.16417473,17.31405651,Time Insurance Company,TN,2195845.5,746097.06,No,,59553,,21297500,20491491,357.6226219,344.0883079,12.52828674,13.53431397,26.06260071
428,52664,"Summa Insurance Company, Inc.",OH,4527307.52,-360679.09,No,1182289.72,71873,419640,23175839,22986321,322.4554283,319.8185828,-5.0182835,2.636845547,-2.381437953,60.60894119,"Summa Insurance Company, Inc.",OH,2387747.27,35681.99,No,2820322.62,53021,375458,20259503,20052655,382.1033741,378.2021275,0.672978443,3.901246676,4.574225118
429,63312,Colorado Choice Health Plans,CO,6252605.7,-4578461.04,Yes,-534596.16,63856,32144,23273256,29458165,364.4646705,461.3218022,-71.69977825,-96.85713167,-168.5569099,-70.63963198,Colorado Choice Health Plans,CO,4665826.16,1562462.46,Yes,-1750013.59,65551,29964,24627126,29021855,375.6941313,442.7370292,23.83582951,-67.0428979,-43.20706839
430,19068,Time Insurance Company,PA,4662824.37,1461479.59,No,-220045.83,98176,10071,23727543,27582910,241.6837414,280.9536954,14.88632242,-39.26995396,-24.38363154,23.11091265,Time Insurance Company,PA,3985277.18,3948940.01,No,-394254.42,77397,2380,24251992,30705750,313.3453751,396.7304934,51.02187436,-83.38511829,-32.36324392
431,56764,"Humana Medical Plan of Utah, Inc.",UT,3555669.52,-9861880.07,No,,119232,,23750751.72,24774017.66,199.1977969,207.7799388,-82.71168872,-8.582141875,-91.2938306,-61.47239407,"Humana Medical Plan of Utah, Inc.",UT,2401586.97,-12348265.88,No,,150566,,32572721,25970854,216.3351686,172.4881713,-82.01231274,43.84699733,-38.16531541
432,93091,New Mexico Health Connections,NM,3178238.43,-4834621.72,Yes,-1832176.28,72246,22648,24015570,20102873,332.4138361,278.2558619,-66.91888437,54.15797414,-12.76091022,31.23098455,New Mexico Health Connections,NM,5515873.35,-11035028.09,Yes,-3534467.65,237567,107378,63129854,64799269,265.7349464,272.7620798,-46.45017233,-7.027133398,-53.47730573
433,60156,"HMO Colorado, Inc., dba HMO Nevada",NV,4285648.85,-4049114.37,No,-140898.78,72009,6337,24105673.82,18526521.51,334.7591804,257.2806387,-56.23067075,77.47854171,21.24787096,80.76333222,HMO Colorado Inc. dba HMO NV(Anthem BCBS),NV,5077744.17,-8860894.35,No,-27406,163550,2284,52492039.02,39126115.86,320.9540753,239.2303018,-54.17850413,81.72377352,27.5452694
434,45127,Capital Advantage Assurance Company,PA,276428.37,395776.73,No,5977678.07,112518,1178312,24451444,15627145,217.3113991,138.8857338,3.517452585,78.42566523,81.94311781,84.3998658,Capital Advantage Assurance Company,PA,4546704.54,6863660.42,No,-3297707.87,116325,1002856,35385364,44730192,304.1939738,384.5277627,59.00417296,-80.33378895,-21.32961599
435,23371,Kaiser Foundation Healthplan of the NW,WA,2684599.56,2144483.77,Yes,294987.75,61981,105858,24686911,20741164,398.2980429,334.6374534,34.59905084,63.66058954,98.25964037,141.5729067,Kaiser Foundation Healthplan of the NW,WA,2087506.13,1500350.01,Yes,465626.66,61548,91245,25264201,23545272,410.4796419,382.5513745,24.37690924,27.92826737,52.30517661
436,24867,Time Insurance Company,MT,3474683.03,617238.69,No,-32953.83,109492,7790,24731561,26212712,225.8755069,239.4029883,5.637294871,-13.52748146,-7.890186589,23.84439703,Time Insurance Company,MT,2894124.53,1231200.88,No,-309927.67,67694,5008,21696872,24865264,320.5139599,367.3185807,18.18774012,-46.80462079,-28.61688067
437,14650,Time Insurance Company,OH,4474174.84,2104210.85,No,66259.04,102450,78577,25170821,29893962,245.6888336,291.7907467,20.53890532,-46.10191313,-25.56300781,18.10878175,Time Insurance Company,OH,2839186.95,2988966.3,No,472321.42,69063,49025,22893677,24954747,331.4897557,361.3330872,43.27883671,-29.84333145,13.43550526
438,89029,Time Insurance Company,MI,2196259.12,688700.17,No,-60605.89,130130,56167,25848787,24230833,198.6381849,186.2048183,5.292401214,12.43336663,17.72576785,34.60319135,Time Insurance Company,MI,2392980.67,1364106.91,No,-129271.65,105644,49242,25854093,24852227,244.7284559,235.2450399,12.91229895,9.483416001,22.39571495
439,72547,Aetna Life Insurance Company,IL,917024.2,125878.03,No,-719734.14,91336,262696,26015250.74,22909464.09,284.8301955,250.826225,1.378186367,34.0039705,35.38215687,45.42227468,Aetna Life Insurance Company,IL,814606.14,-670691.43,No,-1111838.73,36698,185509,12785277.03,10256028.67,348.391657,279.4710521,-18.27596681,68.92060494,50.64463813
440,23603,PacificSource Health Plans,MT,6099996.76,506533.42,Yes,285047.68,92912,143109,26110449,35304377.4,281.0234308,379.976509,5.451754563,-98.95307818,-93.50132362,-27.84783688,Pacific Source Health Plans,MT,7013675.92,-805324.98,Yes,-1744039.87,122296,109024,36162384,52480931.91,295.6955583,429.1304042,-6.585047589,-133.4348459,-140.0198935
441,67577,Alliance Health and Life Insurance Company,MI,2529564.79,1895578.59,Yes,-181245.97,113796,131419,26377099,24127739,231.7928486,212.0262487,16.65769087,19.76659988,36.42429075,58.65323368,Alliance Health and Life Insurance Company,MI,2909573.77,4463306.2,Yes,-282556.4,118357,166084,35855316,35364842,302.942082,298.7980601,37.71053846,4.1440219,41.85456036
442,38949,Keystone Health Plan West,PA,304443.33,223700.41,Yes,-59934.41,68099,1498,26891563,27681855,394.8892495,406.4942951,3.284929441,-11.6050456,-8.320116154,-3.849517027,Keystone Health Plan West,PA,81947.41,63115.8,Yes,-7980.98,43144,1240,18231157,17352915,422.565293,402.2092296,1.462910254,20.35606342,21.81897367
443,81941,Aetna Health Inc. (a LA corp.),LA,1125984.52,-2764603.7,No,-120226.85,149620,85123,27002700,25513962.18,180.4752038,170.5250781,-18.477501,9.950125785,-8.527375217,-1.001746825,"Coventry Health Care of Louisiana, Inc.",LA,1301311.45,-9447131.62,No,-727200.2,78262,53216,19409194.68,12798652.92,248.0027942,163.5359807,-120.7116049,84.46681352,-36.24479134
444,28162,AultCare Insurance Company,OH,3286427.05,-174769.08,No,382.29,96734,305433,27420415,25291402.49,283.4620196,261.4530826,-1.806697542,22.00893698,20.20223944,54.1760961,AultCare Insurance Company,OH,2358684.92,-246739.17,No,-514739.16,94212,301024,31591227.41,26237396.03,335.3206323,278.4931434,-2.618978156,56.82748885,54.2085107
446,38927,Aetna Health of Utah Inc.,UT,3138343.27,-1640855.99,No,347136.03,142404,419799,27872977.89,26503726.2,195.7317062,186.1164448,-11.52254143,9.615261439,-1.907279992,20.13102841,Altius Health Plans Inc.,UT,2271988.13,-3519378.66,No,-991146.89,131934,275220,28394641.19,27965900.91,215.2185274,211.9688701,-26.67529719,3.249657253,-23.42563994
447,20126,HealthSpan Integrated Care,OH,2879588.73,-9566203.9,Yes,-3621911.77,90538,122878,28554723,27408056,315.3893724,302.7243367,-105.6595452,12.66503568,-92.99450949,-61.1892042,HealthSpan Integrated Care,OH,3299755.23,-4273438.02,Yes,-6425628.16,74581,57189,26936545.8,29106547.01,361.1716898,390.2675884,-57.29928561,-29.09589855,-86.39518416
