,Unnamed: 0,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",Not-For-Profit:_2014,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndPremiumMinusCostsPMM_2014,IndPremiumPlusTransferMinusCostsPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",Not-For-Profit:_2015,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015,IndPremiumPlusTransferMinusCostsPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",Not-For-Profit:,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndPremiumMinusCostsPMM,IndPremiumPlusTransferMinusCostsPMM,Transfers16Minus14
261,429,49316,"BCBSM, INC.",MN,109644843.7,7616924.44,Yes,11759377.1,1830768,1267529,540553106,673696651,295.2602984,367.9858131,4.160507743,-72.72551465,-68.5650069,"BCBSM, INC.",MN,125759129.4,29086945.86,Yes,15764245.94,2462520,1392389,782721397,1073087950,317.8538233,435.7682171,11.81186178,-117.9143938,-106.102532,BCBSMN INC,MN,53825959.36,109756214.5,Yes,18652345.56,1239218,1302566,543956372,745732721,438.9513161,601.7768633,88.56893178,-162.8255472,-74.25661546,84.40842404
262,317,40308,Group Hospitalization and Medical Services Inc.,VA,5469203.05,4207942.09,Yes,3282304.3,218549,290550,71180668.95,65937328.2,325.6966124,301.7050099,19.25399837,23.99160257,43.24560094,Group Hospitalization and Medical Services Inc.,VA,8431776.3,11441513.48,Yes,9435152.4,195299,220770,76036999.8,85811732.92,389.3363499,439.3864429,58.58459839,-50.05009304,8.534505348,Group Hospitalization and Medical Services,VA,4801170.38,14829547.64,Yes,8480490.49,163568,182113,73541649.54,85930415.61,449.6090283,525.3497971,90.6628903,-75.74076879,14.9221215,71.40889193
265,245,78079,GHMSI,DC,2071230.11,1803989.23,Yes,8238082.97,91636,491235,31714766.26,32975261,346.0950528,359.8505064,19.68646853,-13.75545353,5.931014994,GHMSI,DC,2537992.49,3510581.06,Yes,15545279.98,78795,468211,30954934.21,34339711.12,392.8540416,435.810789,44.55334806,-42.95674738,1.596600673,Group Hospitalization and Medical Services,DC,2918352.18,9810171.94,Yes,16753749.82,105899,431106,41460173.05,59142396.25,391.5067475,558.4792703,92.63705927,-166.9725229,-74.3354636,72.95059074
266,311,38344,Premera Blue Cross Blue Shield of Alaska,AK,19984669.96,5782175.12,Yes,-119931.53,146645,222340,66855354,90720294,455.8993079,618.6388489,39.42974612,-162.7395411,-123.3097949,Premera Blue Cross Blue Shield of Alaska,AK,14655165.1,12358455.76,Yes,1742413.11,143355,229779,78693115,105293849,548.9387534,734.4972202,86.20875282,-185.5584667,-99.34971393,Premera Blue Cross,AK,5758679.1,11418310.79,Yes,4017476.01,116214,124234,86269350,83903892,742.3318189,721.9774898,98.25245487,20.35432908,118.606784,58.82270875
267,427,97176,Louisiana Health Service & Indemnity Company,LA,59187419.01,22005546.46,Yes,803668.2,1596020,2115029,498116444,526706837,312.0991241,330.0126797,13.7877636,-17.91355559,-4.125791995,Louisiana Health Service & Indemnity Company,LA,59752232.01,67544981.11,Yes,7830648.73,1471589,1880339,545121264,646659307,370.4303742,439.4292883,45.89935173,-68.9989141,-23.09956237,Louisiana Health Service & Indemnity Company,LA,27115074.86,102587361.7,Yes,9158699.82,1035653,1318564,461204220,554404207,445.3269773,535.3184966,99.05572784,-89.99151936,9.064208475,85.26796424
270,316,20507,Optima Health Plan,VA,14833380.88,19660297.48,Yes,1872934.03,199052,546331,70503942,103007596,354.1986114,517.4908868,98.76965557,-163.2922754,-64.52261982,Optima Health Plan,VA,17769218.56,42170520.55,Yes,6375531.18,412840,389074,152207789,216307264.6,368.6846938,523.9493862,102.1473708,-155.2646924,-53.1173216,Optima Health,VA,10066985.84,48470286.14,Yes,7394826.9,410914,376152,162154869,236325046,394.6199667,575.1204534,117.9572517,-180.5004867,-62.54323498,19.18759613
273,208,94788,CDPHP,NY,5393821.37,8365330.23,Yes,5699384.43,45111,125199,21946640,28267684,486.5030702,626.6250804,185.4388116,-140.1220102,45.31680145,CDPHP,NY,3850329.69,8189242.42,Yes,3397548.58,53205,83602,26813056,33639246,503.9574476,632.2572315,153.9186622,-128.2997839,25.6188783,"Capital District Physicians' Health Plan, Inc.",NY,2063700.29,7154086.73,Yes,-1856645.22,56589,35612,28776102.84,35336606.36,508.5105381,624.4430253,126.4218617,-115.9324872,10.48937444,-59.0169499
275,180,18029,Independent Health Benefits Corporation,NY,2847602.18,6203465.48,Yes,4211250.12,37626,482984,16703292,18421973,443.9295168,489.607532,164.871777,-45.6780152,119.1937618,Independent Health Benefits Corporation,NY,2216885.52,7655906.8,Yes,7032740.32,45191,414772,19640713,23502144,434.6155872,520.0624903,169.4122015,-85.44690314,83.9652984,Independent Health Benefits Corporation,NY,1614058.33,9237924.35,Yes,5830441.45,63567,484065,23367811,33489709,367.6091525,526.8411125,145.3257878,-159.23196,-13.90617223,-19.5459892
280,240,10091,PacificSource Health Plans,OR,10259771.48,3133280.74,Yes,359543.94,127744,427433,29970266,49756526.96,234.611927,389.5018706,24.5278114,-154.8899436,-130.3621322,Pacific Source Health Plans,OR,8483371.78,6385295.65,Yes,-263011.36,94382,289647,35834863,54917003.46,379.678996,581.8588657,67.65374383,-202.1798697,-134.5261259,PacificSource Health Plans,OR,2561569.74,9211343.15,Yes,2650866.63,46575,217910,19072646.02,34439156.23,409.5039403,739.4343796,197.7744101,-329.9304393,-132.1560292,173.2465987
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.343805386
